,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
266,0.155,0.138,0.138,0.137,0.137,0.073,0.077,0.069,0.069,0.069,0.031,0.032,0.036,0.024,0.025,0.015,0.016,0.015,0.012,0.005,0.112,0.11,0.107,0.108,0.11,0.053,0.052,0.051,0.049,0.046
267,0.125,0.111,0.11,0.11,0.11,0.058,0.062,0.055,0.054,0.054,0.028,0.032,0.034,0.023,0.025,0.014,0.014,0.015,0.012,0.005,0.111,0.109,0.107,0.107,0.109,0.051,0.05,0.05,0.048,0.046
268,0.105,0.093,0.091,0.092,0.091,0.047,0.052,0.046,0.044,0.045,0.024,0.03,0.03,0.02,0.023,0.012,0.013,0.013,0.011,0.005,0.111,0.11,0.107,0.108,0.11,0.05,0.05,0.047,0.048,0.046
269,0.093,0.08,0.079,0.078,0.079,0.04,0.045,0.039,0.037,0.038,0.022,0.027,0.028,0.018,0.02,0.011,0.012,0.012,0.01,0.003,0.113,0.112,0.109,0.109,0.112,0.051,0.051,0.045,0.049,0.047
270,0.086,0.073,0.071,0.071,0.072,0.037,0.041,0.035,0.033,0.035,0.021,0.024,0.025,0.016,0.018,0.01,0.012,0.01,0.009,0.002,0.115,0.114,0.111,0.111,0.114,0.053,0.053,0.045,0.052,0.048
271,0.083,0.069,0.068,0.069,0.069,0.036,0.038,0.034,0.031,0.033,0.018,0.02,0.021,0.013,0.015,0.009,0.011,0.008,0.007,0,0.117,0.116,0.113,0.112,0.116,0.054,0.054,0.046,0.053,0.048
272,0.082,0.069,0.067,0.069,0.068,0.036,0.038,0.033,0.031,0.033,0.013,0.015,0.017,0.009,0.01,0.007,0.007,0.006,0.004,-0.003,0.118,0.117,0.114,0.113,0.117,0.055,0.055,0.046,0.053,0.049
273,0.083,0.069,0.068,0.068,0.069,0.036,0.038,0.034,0.031,0.033,0.009,0.011,0.013,0.005,0.005,0.004,0.005,0.003,0.001,-0.006,0.119,0.117,0.114,0.113,0.117,0.055,0.056,0.048,0.053,0.049
274,0.083,0.068,0.067,0.066,0.069,0.035,0.04,0.034,0.031,0.033,0.007,0.009,0.014,0.003,0.002,0.003,0.004,0.003,0.001,-0.006,0.12,0.118,0.115,0.114,0.118,0.055,0.055,0.051,0.052,0.049
275,0.081,0.065,0.064,0.064,0.068,0.035,0.039,0.033,0.03,0.032,0.007,0.008,0.014,0.003,0.001,0.003,0.003,0.003,0.001,-0.005,0.12,0.119,0.115,0.115,0.119,0.055,0.055,0.053,0.052,0.049
276,0.077,0.061,0.059,0.06,0.063,0.032,0.036,0.03,0.028,0.03,0.006,0.007,0.011,0.002,0,0.002,0.002,0.003,0.001,-0.005,0.121,0.119,0.116,0.115,0.119,0.055,0.054,0.052,0.052,0.048
277,0.071,0.056,0.055,0.056,0.058,0.03,0.032,0.028,0.026,0.027,0.005,0.007,0.008,0.001,-0.001,0.002,0.001,0.002,0,-0.006,0.122,0.12,0.117,0.115,0.12,0.055,0.055,0.051,0.053,0.048
278,0.07,0.055,0.054,0.055,0.055,0.03,0.031,0.027,0.025,0.027,0.004,0.006,0.006,0,-0.001,0.001,0.002,0.002,0,-0.007,0.125,0.123,0.119,0.118,0.122,0.057,0.056,0.051,0.054,0.05
279,0.074,0.058,0.057,0.057,0.058,0.031,0.033,0.028,0.026,0.027,0.004,0.006,0.006,0,-0.001,0.001,0.001,0.003,0,-0.007,0.128,0.126,0.123,0.121,0.126,0.057,0.058,0.052,0.055,0.051
280,0.08,0.063,0.062,0.062,0.065,0.033,0.035,0.031,0.028,0.03,0.003,0.005,0.007,0,0,0.001,0.001,0.002,0,-0.006,0.129,0.126,0.123,0.121,0.127,0.058,0.058,0.051,0.055,0.052
281,0.084,0.068,0.066,0.067,0.069,0.036,0.037,0.034,0.029,0.033,0.002,0.004,0.007,-0.001,0,0,0.001,0.002,0,-0.007,0.125,0.121,0.12,0.117,0.124,0.057,0.058,0.052,0.055,0.051
282,0.085,0.069,0.067,0.068,0.068,0.037,0.038,0.034,0.03,0.033,0.001,0.004,0.007,-0.002,-0.001,0,0.001,0.001,-0.001,-0.008,0.119,0.115,0.114,0.111,0.117,0.055,0.055,0.05,0.053,0.048
283,0.078,0.065,0.063,0.064,0.062,0.034,0.036,0.032,0.028,0.031,0.002,0.004,0.008,-0.002,-0.001,0.001,0.002,0.001,-0.001,-0.007,0.112,0.109,0.107,0.105,0.109,0.053,0.053,0.048,0.051,0.047
284,0.067,0.055,0.053,0.054,0.053,0.029,0.031,0.027,0.024,0.026,0.002,0.004,0.008,-0.001,0,0.001,0.002,0.001,0,-0.007,0.105,0.102,0.099,0.098,0.102,0.049,0.049,0.045,0.047,0.044
285,0.055,0.044,0.042,0.043,0.042,0.023,0.025,0.021,0.018,0.02,0.002,0.004,0.007,-0.001,0,0,0.001,0.001,0,-0.007,0.099,0.096,0.093,0.093,0.097,0.046,0.046,0.04,0.044,0.041
286,0.046,0.035,0.033,0.035,0.033,0.018,0.022,0.017,0.014,0.016,0.002,0.004,0.006,0,-0.001,0,0.001,0.001,0,-0.006,0.095,0.092,0.09,0.089,0.093,0.044,0.044,0.037,0.041,0.038
287,0.044,0.032,0.031,0.032,0.029,0.017,0.02,0.015,0.012,0.014,0.003,0.005,0.007,0,-0.002,0.001,0.001,0.002,-0.001,-0.006,0.092,0.09,0.087,0.086,0.089,0.043,0.043,0.036,0.039,0.036
288,0.046,0.033,0.032,0.033,0.031,0.018,0.021,0.016,0.014,0.014,0.003,0.004,0.007,-0.001,-0.002,0.001,0.001,0.002,0,-0.007,0.087,0.085,0.082,0.081,0.084,0.041,0.042,0.036,0.038,0.035
289,0.054,0.041,0.039,0.04,0.04,0.021,0.024,0.02,0.017,0.018,0.003,0.004,0.009,-0.001,-0.002,0.001,0.001,0.002,0,-0.007,0.082,0.081,0.077,0.077,0.079,0.039,0.041,0.037,0.036,0.034
290,0.06,0.047,0.046,0.046,0.046,0.025,0.027,0.023,0.02,0.022,0.001,0.004,0.01,-0.002,-0.003,0,-0.001,0.001,-0.001,-0.007,0.078,0.076,0.073,0.072,0.075,0.037,0.038,0.034,0.034,0.031
