,0,1,2,3,4,5,6,7
387,-0.007,0,0.001,-0.007,-0.006,0,-0.002,0.001
388,-0.007,0.001,0.002,-0.005,-0.005,0.001,-0.001,0.001
389,-0.005,0.003,0.004,-0.003,-0.003,0.003,0,0.003
390,-0.002,0.004,0.005,-0.003,-0.002,0.004,0.001,0.003
391,-0.001,0.002,0.004,-0.004,-0.003,0.002,0,0.002
392,-0.002,0.001,0.003,-0.005,-0.004,0.001,0,0.002
393,-0.004,0.002,0.002,-0.005,-0.005,0.001,-0.001,0.001
394,-0.007,0.002,0.002,-0.006,-0.006,0,-0.001,0.001
395,-0.008,0.001,0.001,-0.007,-0.008,-0.001,-0.003,-0.001
396,-0.008,0,0,-0.008,-0.008,-0.002,-0.004,-0.001
397,-0.006,0.001,0,-0.007,-0.007,-0.001,-0.003,-0.001
398,-0.005,0.001,0.001,-0.007,-0.006,-0.002,-0.003,-0.001
399,-0.005,0,0.001,-0.007,-0.006,-0.002,-0.004,-0.001
400,-0.004,0.001,0.001,-0.005,-0.004,-0.001,-0.003,0
401,-0.002,0.001,0.002,-0.004,-0.003,0.001,-0.001,0.002
402,-0.001,0.003,0.003,-0.003,-0.002,0.002,0,0.003
403,-0.004,0.003,0.002,-0.005,-0.004,0.002,0,0.002
404,-0.007,0.002,0.001,-0.007,-0.006,0,-0.001,0.001
405,-0.008,0.001,0.001,-0.008,-0.006,0,-0.002,0.001
406,-0.007,0.002,0.001,-0.008,-0.006,0.001,-0.001,0.001
407,-0.005,0.002,0.002,-0.005,-0.005,0.001,0,0.002
408,-0.005,0.002,0.002,-0.005,-0.005,0.001,0,0.001
409,-0.005,0.001,0.002,-0.006,-0.006,0,-0.001,0.001
410,-0.004,0.002,0.003,-0.006,-0.005,0.001,0,0.003
411,-0.004,0.004,0.004,-0.005,-0.004,0.003,0.002,0.004
412,-0.005,0.003,0.004,-0.005,-0.004,0.003,0.002,0.003
413,-0.004,0.003,0.003,-0.005,-0.004,0.002,0.001,0.002
414,-0.002,0.003,0.003,-0.003,-0.002,0.003,0.001,0.003
415,0,0.003,0.004,-0.002,-0.001,0.003,0.001,0.003
416,0,0.004,0.004,-0.003,-0.001,0.003,0.001,0.004
417,-0.002,0.002,0.002,-0.006,-0.004,0.001,-0.001,0.001
418,-0.005,0,0,-0.009,-0.007,-0.002,-0.003,-0.001
419,-0.007,-0.001,0,-0.009,-0.008,-0.002,-0.002,-0.001
420,-0.006,0,0.001,-0.008,-0.008,-0.001,-0.002,0
421,-0.006,0,0.001,-0.007,-0.006,-0.001,-0.003,0.001
422,-0.005,-0.001,0,-0.006,-0.005,-0.001,-0.003,0
423,-0.006,-0.001,-0.001,-0.007,-0.006,-0.002,-0.003,-0.001
424,-0.007,-0.001,-0.001,-0.008,-0.007,-0.002,-0.003,-0.001
425,-0.009,-0.001,-0.001,-0.008,-0.008,-0.002,-0.003,-0.002
426,-0.009,-0.002,-0.001,-0.008,-0.009,-0.002,-0.004,-0.002
427,-0.009,-0.002,-0.001,-0.009,-0.009,-0.003,-0.004,-0.002
428,-0.007,-0.002,-0.001,-0.01,-0.01,-0.003,-0.004,-0.002
429,-0.004,-0.001,0.001,-0.009,-0.009,-0.001,-0.003,0
430,-0.003,0.002,0.003,-0.007,-0.006,0.002,-0.001,0.002
431,-0.003,0.003,0.004,-0.004,-0.005,0.003,0,0.003
432,-0.004,0.003,0.003,-0.006,-0.006,0.002,0,0.002
433,-0.004,0.001,0.002,-0.007,-0.006,0.001,-0.001,0
434,-0.003,0.001,0.002,-0.007,-0.005,0.001,-0.002,0
435,-0.003,0.001,0.002,-0.007,-0.006,0,-0.002,0
436,-0.005,0,0,-0.008,-0.007,-0.002,-0.003,0
437,-0.006,0,0,-0.007,-0.007,-0.002,-0.003,0
438,-0.005,-0.001,0,-0.007,-0.007,-0.002,-0.003,-0.001
439,-0.004,-0.001,-0.001,-0.007,-0.007,-0.002,-0.004,-0.001
440,-0.004,-0.001,0,-0.008,-0.008,-0.002,-0.003,0
441,-0.007,-0.002,-0.001,-0.009,-0.011,-0.003,-0.004,-0.002
442,-0.009,-0.003,-0.001,-0.01,-0.012,-0.003,-0.004,-0.002
443,-0.009,-0.003,-0.001,-0.01,-0.012,-0.002,-0.005,-0.003
444,-0.007,-0.002,0,-0.009,-0.009,-0.001,-0.004,0
445,-0.006,-0.002,0,-0.009,-0.007,-0.001,-0.004,0.001
446,-0.006,-0.002,0,-0.009,-0.007,-0.002,-0.004,0
447,-0.006,-0.002,0,-0.009,-0.008,-0.002,-0.004,-0.002
448,-0.004,0,0.001,-0.007,-0.006,-0.001,-0.002,-0.001
449,-0.003,0.001,0.002,-0.006,-0.005,0.001,0,0.001
450,-0.002,0.001,0.002,-0.006,-0.006,0.001,0,0.001
451,-0.004,0,0,-0.006,-0.007,0,-0.002,0
452,-0.005,0,0,-0.006,-0.006,0,-0.004,0
453,-0.006,0,0,-0.005,-0.005,0.001,-0.004,0
454,-0.006,-0.001,0,-0.006,-0.006,0,-0.004,0
455,-0.008,-0.002,-0.001,-0.008,-0.008,-0.001,-0.003,-0.002
456,-0.009,-0.003,-0.002,-0.01,-0.01,-0.003,-0.004,-0.004
457,-0.009,-0.002,-0.002,-0.01,-0.011,-0.004,-0.004,-0.005
458,-0.008,-0.002,-0.003,-0.008,-0.009,-0.004,-0.005,-0.005
459,-0.005,-0.003,-0.003,-0.007,-0.006,-0.004,-0.005,-0.004
460,-0.005,-0.004,-0.004,-0.007,-0.006,-0.004,-0.006,-0.004
461,-0.007,-0.005,-0.004,-0.009,-0.008,-0.005,-0.007,-0.005
462,-0.01,-0.004,-0.004,-0.01,-0.009,-0.005,-0.008,-0.006
463,-0.011,-0.004,-0.004,-0.011,-0.01,-0.005,-0.008,-0.007
464,-0.008,-0.003,-0.002,-0.011,-0.009,-0.003,-0.006,-0.005
465,-0.008,-0.001,0,-0.01,-0.009,0,-0.003,-0.002
466,-0.01,0,0.001,-0.009,-0.01,0.001,-0.002,0
467,-0.012,-0.002,-0.002,-0.01,-0.012,-0.002,-0.005,-0.003
468,-0.014,-0.004,-0.005,-0.012,-0.014,-0.006,-0.008,-0.006
469,-0.014,-0.007,-0.008,-0.015,-0.016,-0.008,-0.009,-0.007
470,-0.013,-0.006,-0.006,-0.014,-0.015,-0.007,-0.007,-0.005
471,-0.011,-0.005,-0.004,-0.012,-0.014,-0.005,-0.005,-0.003
472,-0.009,-0.003,-0.002,-0.008,-0.011,-0.002,-0.002,-0.002
473,-0.008,-0.002,-0.001,-0.007,-0.009,-0.002,-0.003,-0.003
474,-0.008,-0.002,-0.001,-0.007,-0.008,-0.002,-0.004,-0.002
475,-0.007,-0.001,-0.001,-0.008,-0.008,-0.002,-0.005,-0.003
476,-0.009,-0.003,-0.003,-0.01,-0.01,-0.005,-0.006,-0.004
477,-0.011,-0.004,-0.005,-0.012,-0.012,-0.006,-0.006,-0.006
478,-0.012,-0.004,-0.005,-0.013,-0.012,-0.006,-0.006,-0.005
479,-0.01,-0.003,-0.003,-0.01,-0.01,-0.003,-0.005,-0.003
480,-0.01,-0.004,-0.003,-0.01,-0.01,-0.005,-0.007,-0.005
481,-0.011,-0.006,-0.005,-0.01,-0.012,-0.008,-0.009,-0.007
482,-0.012,-0.007,-0.006,-0.01,-0.012,-0.008,-0.009,-0.008
483,-0.011,-0.007,-0.006,-0.009,-0.011,-0.007,-0.009,-0.007
484,-0.009,-0.007,-0.005,-0.009,-0.01,-0.006,-0.008,-0.006
485,-0.011,-0.006,-0.006,-0.011,-0.011,-0.006,-0.008,-0.006
486,-0.012,-0.006,-0.006,-0.013,-0.012,-0.006,-0.008,-0.005
487,-0.015,-0.007,-0.007,-0.015,-0.014,-0.007,-0.008,-0.006
488,-0.017,-0.01,-0.009,-0.018,-0.018,-0.01,-0.011,-0.01
489,-0.018,-0.011,-0.01,-0.019,-0.019,-0.011,-0.013,-0.011
490,-0.017,-0.01,-0.009,-0.017,-0.017,-0.01,-0.013,-0.01
491,-0.014,-0.009,-0.008,-0.016,-0.015,-0.01,-0.012,-0.009
492,-0.016,-0.012,-0.011,-0.016,-0.016,-0.012,-0.014,-0.011
493,-0.019,-0.016,-0.014,-0.02,-0.02,-0.015,-0.017,-0.014
494,-0.021,-0.017,-0.014,-0.021,-0.021,-0.015,-0.018,-0.015
495,-0.019,-0.013,-0.012,-0.018,-0.019,-0.013,-0.015,-0.013
496,-0.014,-0.008,-0.009,-0.015,-0.014,-0.009,-0.011,-0.009
497,-0.011,-0.007,-0.008,-0.013,-0.013,-0.008,-0.01,-0.009
498,-0.013,-0.009,-0.009,-0.015,-0.015,-0.01,-0.012,-0.011
499,-0.016,-0.013,-0.012,-0.017,-0.018,-0.012,-0.014,-0.013
500,-0.019,-0.014,-0.013,-0.019,-0.021,-0.013,-0.016,-0.014
501,-0.019,-0.012,-0.011,-0.019,-0.02,-0.012,-0.014,-0.012
502,-0.019,-0.01,-0.01,-0.019,-0.019,-0.01,-0.013,-0.011
503,-0.021,-0.009,-0.01,-0.02,-0.019,-0.01,-0.012,-0.01
504,-0.022,-0.011,-0.011,-0.021,-0.021,-0.012,-0.013,-0.011
505,-0.019,-0.011,-0.011,-0.02,-0.019,-0.013,-0.014,-0.012
506,-0.014,-0.009,-0.01,-0.017,-0.015,-0.011,-0.014,-0.011
507,-0.013,-0.009,-0.01,-0.016,-0.014,-0.01,-0.013,-0.011
508,-0.014,-0.008,-0.009,-0.016,-0.015,-0.01,-0.012,-0.01
509,-0.018,-0.009,-0.009,-0.017,-0.018,-0.011,-0.012,-0.01
510,-0.021,-0.01,-0.01,-0.02,-0.021,-0.011,-0.013,-0.011
511,-0.025,-0.014,-0.013,-0.024,-0.024,-0.014,-0.016,-0.014
512,-0.027,-0.016,-0.015,-0.025,-0.026,-0.016,-0.017,-0.016
513,-0.025,-0.015,-0.015,-0.023,-0.024,-0.017,-0.018,-0.017
514,-0.026,-0.015,-0.016,-0.024,-0.025,-0.017,-0.018,-0.017
515,-0.028,-0.016,-0.017,-0.026,-0.028,-0.019,-0.02,-0.018
516,-0.029,-0.018,-0.019,-0.028,-0.029,-0.02,-0.021,-0.02
517,-0.025,-0.017,-0.017,-0.025,-0.025,-0.018,-0.019,-0.017
518,-0.021,-0.015,-0.014,-0.021,-0.021,-0.014,-0.017,-0.014
519,-0.02,-0.014,-0.013,-0.019,-0.019,-0.013,-0.015,-0.013
520,-0.02,-0.014,-0.014,-0.02,-0.02,-0.015,-0.016,-0.015
521,-0.02,-0.015,-0.016,-0.022,-0.021,-0.016,-0.017,-0.017
522,-0.02,-0.016,-0.017,-0.024,-0.023,-0.017,-0.018,-0.018
523,-0.023,-0.019,-0.019,-0.027,-0.028,-0.019,-0.02,-0.019
524,-0.025,-0.019,-0.019,-0.027,-0.029,-0.02,-0.022,-0.02
525,-0.024,-0.017,-0.017,-0.025,-0.026,-0.018,-0.02,-0.018
526,-0.021,-0.015,-0.014,-0.021,-0.022,-0.015,-0.017,-0.016
527,-0.021,-0.016,-0.014,-0.019,-0.019,-0.015,-0.016,-0.014
528,-0.02,-0.015,-0.014,-0.02,-0.02,-0.014,-0.016,-0.014
529,-0.023,-0.018,-0.017,-0.024,-0.024,-0.018,-0.02,-0.018
530,-0.026,-0.02,-0.021,-0.029,-0.029,-0.022,-0.024,-0.023
531,-0.027,-0.022,-0.023,-0.03,-0.03,-0.024,-0.026,-0.025
532,-0.025,-0.019,-0.02,-0.026,-0.026,-0.021,-0.023,-0.022
533,-0.023,-0.017,-0.017,-0.023,-0.022,-0.017,-0.019,-0.017
534,-0.023,-0.018,-0.017,-0.024,-0.023,-0.018,-0.019,-0.018
535,-0.024,-0.019,-0.017,-0.024,-0.026,-0.019,-0.02,-0.02
536,-0.025,-0.02,-0.019,-0.026,-0.028,-0.021,-0.021,-0.022
537,-0.027,-0.022,-0.021,-0.028,-0.031,-0.023,-0.023,-0.023
538,-0.027,-0.021,-0.022,-0.028,-0.03,-0.023,-0.023,-0.023
539,-0.027,-0.02,-0.021,-0.026,-0.027,-0.021,-0.023,-0.021
540,-0.024,-0.016,-0.016,-0.024,-0.023,-0.017,-0.019,-0.018
541,-0.022,-0.014,-0.014,-0.023,-0.021,-0.015,-0.016,-0.015
542,-0.022,-0.016,-0.016,-0.023,-0.023,-0.017,-0.017,-0.017
543,-0.026,-0.019,-0.019,-0.025,-0.027,-0.021,-0.02,-0.02
544,-0.029,-0.022,-0.022,-0.027,-0.03,-0.023,-0.023,-0.023
545,-0.029,-0.02,-0.021,-0.028,-0.03,-0.022,-0.022,-0.022
546,-0.028,-0.02,-0.02,-0.027,-0.029,-0.022,-0.02,-0.021
547,-0.029,-0.02,-0.02,-0.028,-0.029,-0.022,-0.021,-0.021
548,-0.028,-0.021,-0.021,-0.029,-0.03,-0.022,-0.021,-0.022
549,-0.028,-0.022,-0.022,-0.03,-0.03,-0.023,-0.023,-0.022
550,-0.028,-0.022,-0.022,-0.029,-0.03,-0.023,-0.024,-0.023
551,-0.026,-0.02,-0.021,-0.026,-0.028,-0.022,-0.023,-0.022
552,-0.022,-0.018,-0.019,-0.024,-0.024,-0.02,-0.02,-0.02
553,-0.019,-0.016,-0.017,-0.023,-0.024,-0.017,-0.019,-0.019
554,-0.021,-0.018,-0.019,-0.025,-0.026,-0.019,-0.021,-0.022
555,-0.022,-0.02,-0.021,-0.026,-0.027,-0.021,-0.023,-0.023
556,-0.024,-0.021,-0.021,-0.026,-0.027,-0.021,-0.023,-0.021
557,-0.025,-0.02,-0.02,-0.026,-0.027,-0.02,-0.021,-0.02
558,-0.026,-0.018,-0.018,-0.025,-0.026,-0.019,-0.02,-0.019
559,-0.026,-0.02,-0.02,-0.026,-0.027,-0.021,-0.022,-0.021
560,-0.024,-0.02,-0.021,-0.025,-0.025,-0.022,-0.022,-0.022
561,-0.025,-0.02,-0.02,-0.026,-0.025,-0.022,-0.021,-0.021
562,-0.026,-0.02,-0.02,-0.026,-0.027,-0.021,-0.02,-0.02
563,-0.026,-0.021,-0.022,-0.027,-0.028,-0.021,-0.022,-0.02
564,-0.029,-0.023,-0.024,-0.029,-0.031,-0.023,-0.025,-0.023
565,-0.03,-0.022,-0.023,-0.031,-0.03,-0.022,-0.026,-0.023
566,-0.029,-0.021,-0.022,-0.03,-0.029,-0.021,-0.025,-0.02
567,-0.027,-0.02,-0.02,-0.029,-0.028,-0.02,-0.023,-0.019
568,-0.025,-0.02,-0.019,-0.027,-0.028,-0.021,-0.022,-0.019
569,-0.027,-0.021,-0.019,-0.026,-0.028,-0.021,-0.02,-0.019
570,-0.027,-0.021,-0.02,-0.027,-0.027,-0.021,-0.022,-0.019
571,-0.025,-0.019,-0.018,-0.025,-0.025,-0.019,-0.021,-0.018
572,-0.024,-0.017,-0.017,-0.025,-0.025,-0.018,-0.021,-0.017
573,-0.03,-0.021,-0.02,-0.028,-0.029,-0.021,-0.022,-0.021
574,-0.034,-0.022,-0.022,-0.031,-0.033,-0.023,-0.025,-0.023
575,-0.038,-0.025,-0.025,-0.035,-0.036,-0.026,-0.027,-0.025
576,-0.035,-0.024,-0.023,-0.033,-0.035,-0.026,-0.026,-0.025
577,-0.03,-0.023,-0.021,-0.031,-0.031,-0.024,-0.025,-0.023
578,-0.025,-0.02,-0.019,-0.028,-0.027,-0.021,-0.022,-0.021
579,-0.02,-0.016,-0.016,-0.022,-0.022,-0.017,-0.019,-0.017
580,-0.017,-0.015,-0.014,-0.019,-0.02,-0.016,-0.017,-0.016
581,-0.017,-0.015,-0.015,-0.018,-0.019,-0.016,-0.018,-0.015
582,-0.022,-0.015,-0.015,-0.02,-0.019,-0.016,-0.017,-0.016
583,-0.026,-0.018,-0.017,-0.024,-0.023,-0.017,-0.019,-0.017
584,-0.031,-0.02,-0.019,-0.029,-0.03,-0.021,-0.023,-0.02
585,-0.032,-0.017,-0.018,-0.029,-0.031,-0.019,-0.022,-0.018
586,-0.029,-0.013,-0.015,-0.026,-0.028,-0.014,-0.018,-0.014
587,-0.021,-0.008,-0.009,-0.02,-0.02,-0.008,-0.011,-0.008
