,0,1,2,3
621,-0.002,-0.003,-0.003,-0.002
622,-0.002,-0.003,-0.005,-0.002
623,-0.001,-0.003,-0.004,-0.002
624,-0.001,-0.002,-0.003,-0.002
625,0.002,0,0,-0.001
626,0.003,0.001,-0.001,-0.001
627,0.001,0,-0.002,-0.002
628,0,-0.001,-0.001,-0.001
629,-0.003,-0.004,-0.003,-0.004
630,-0.002,-0.005,0,-0.004
631,-0.002,-0.006,0.002,-0.005
632,0,-0.004,0.005,-0.002
633,0,-0.002,0.004,-0.002
634,0,-0.001,0.001,-0.001
635,0.001,0,-0.001,-0.001
636,0.002,0,-0.002,0
637,0.002,0.001,0.001,0.001
638,0.001,0,0.004,0.001
639,0.002,0.001,0.005,0.002
640,0.003,0.003,0.003,0.004
641,0.005,0.003,0.003,0.004
642,0.003,0.002,0.001,0
643,0.004,0.002,0.001,0.001
644,0.006,0.004,0.001,0.004
645,0.007,0.004,0.002,0.006
646,0.006,0.003,0.004,0.005
647,0.002,0.001,0.006,0.002
648,0.006,0.005,0.011,0.006
649,0.007,0.006,0.01,0.006
650,0.006,0.004,0.005,0.005
651,0.003,0.001,0,0.002
652,0.002,0.001,0,0.001
653,0.003,0.002,0.002,0.003
654,0.002,0,-0.001,0.002
655,0.001,-0.001,-0.005,-0.001
656,-0.003,-0.005,-0.01,-0.004
657,-0.006,-0.006,-0.007,-0.006
658,-0.008,-0.008,-0.003,-0.008
659,-0.006,-0.005,0.001,-0.005
660,-0.001,-0.001,0.003,-0.001
661,0.005,0.003,0.004,0.003
662,0.01,0.006,0.004,0.006
663,0.011,0.008,0.007,0.009
664,0.011,0.01,0.009,0.011
665,0.007,0.007,0.007,0.008
666,0.001,0.002,0.001,0.003
667,-0.004,-0.003,-0.002,-0.001
668,-0.005,-0.005,-0.002,-0.005
669,-0.004,-0.004,0,-0.006
670,-0.002,-0.003,-0.002,-0.006
671,-0.001,-0.001,-0.003,-0.003
672,0.001,0,-0.004,-0.001
673,0.001,0.002,-0.002,0.001
674,0.001,0.002,0.002,0
675,0.001,0.001,0.003,0
676,0.001,0,0.003,0
677,0.001,-0.002,0.001,-0.001
678,-0.001,-0.003,0.001,-0.004
679,-0.005,-0.006,-0.001,-0.007
680,-0.008,-0.007,-0.007,-0.009
681,-0.007,-0.006,-0.011,-0.007
682,-0.002,-0.002,-0.007,-0.002
683,0.004,0.002,0.003,0.003
684,0.006,0.003,0.007,0.004
685,0.003,0.002,0.007,0.004
686,0.001,0.001,0.005,0.003
687,0.004,0.002,0.004,0.002
688,0.005,0.003,0.003,0.002
689,0.003,0.002,-0.001,0
690,-0.001,-0.002,-0.004,-0.004
691,-0.001,0,0,-0.003
692,0.001,0.003,0.005,0.001
693,0.002,0.003,0.005,0.002
694,-0.003,-0.003,-0.003,-0.004
695,-0.006,-0.007,-0.006,-0.007
696,-0.005,-0.007,-0.004,-0.005
697,-0.003,-0.005,0,-0.003
698,-0.001,-0.003,0,0
699,0.001,-0.002,-0.002,-0.001
700,0,-0.003,-0.004,-0.003
701,-0.001,-0.004,-0.004,-0.005
702,-0.002,-0.003,-0.002,-0.003
703,-0.001,-0.002,-0.002,-0.002
704,-0.004,-0.004,-0.005,-0.004
705,-0.007,-0.007,-0.005,-0.007
706,-0.006,-0.007,-0.003,-0.008
707,-0.006,-0.006,-0.003,-0.006
708,-0.005,-0.007,-0.005,-0.006
709,-0.007,-0.008,-0.006,-0.009
710,-0.006,-0.006,-0.002,-0.01
711,-0.004,-0.002,0.001,-0.006
712,-0.002,-0.002,0.002,-0.003
713,-0.001,-0.002,-0.002,-0.002
714,0,-0.004,-0.005,-0.004
715,-0.002,-0.005,-0.008,-0.005
716,-0.008,-0.008,-0.008,-0.008
717,-0.011,-0.011,-0.008,-0.01
718,-0.009,-0.009,-0.007,-0.01
719,-0.008,-0.01,-0.007,-0.01
720,-0.009,-0.008,-0.006,-0.009
721,-0.007,-0.007,-0.005,-0.008
722,-0.006,-0.005,-0.002,-0.004
723,-0.008,-0.008,-0.004,-0.007
724,-0.006,-0.007,-0.004,-0.007
725,-0.004,-0.005,-0.004,-0.005
726,-0.003,-0.002,-0.002,-0.003
727,-0.001,0,-0.001,-0.002
728,0.002,0.001,0,0
729,0.001,-0.001,0,-0.001
730,-0.006,-0.005,-0.003,-0.006
731,-0.006,-0.006,-0.004,-0.007
732,-0.005,-0.006,-0.005,-0.008
733,-0.006,-0.007,-0.006,-0.009
734,-0.007,-0.008,-0.007,-0.01
735,-0.007,-0.008,-0.008,-0.008
736,-0.009,-0.011,-0.01,-0.008
737,-0.013,-0.014,-0.013,-0.012
738,-0.012,-0.013,-0.012,-0.013
739,-0.008,-0.008,-0.01,-0.009
740,-0.005,-0.005,-0.007,-0.006
741,-0.003,-0.004,-0.006,-0.005
742,-0.002,-0.006,-0.005,-0.005
743,-0.005,-0.009,-0.006,-0.008
744,-0.009,-0.013,-0.01,-0.012
745,-0.009,-0.011,-0.009,-0.011
746,-0.006,-0.007,-0.006,-0.008
747,-0.005,-0.008,-0.005,-0.007
748,-0.004,-0.008,-0.005,-0.007
749,-0.002,-0.004,-0.003,-0.004
750,0,0,0,0
