,0,1,2,3,4
618,0.014,0.019,0.008,0.01,0.008
619,0.011,0.013,0.003,0.011,0.009
620,0.011,0.007,0,0.007,0.006
621,0.013,0.011,0.002,0.006,0.007
622,0.016,0.014,0.006,0.01,0.009
623,0.016,0.016,0.011,0.01,0.013
624,0.015,0.01,0.013,0.008,0.013
625,0.013,0.009,0.012,0.007,0.007
626,0.013,0.007,0.004,0.006,0.003
627,0.013,0.006,-0.003,0.006,0.004
628,0.012,0.005,-0.007,0.006,0.003
629,0.009,0.009,-0.005,0.002,0.002
630,0.008,0.012,0,0.001,0.002
631,0.012,0.012,0.006,0.004,0.008
632,0.014,0.014,0.008,0.011,0.01
633,0.014,0.018,0.011,0.016,0.011
634,0.016,0.027,0.014,0.018,0.014
635,0.023,0.029,0.016,0.014,0.013
636,0.026,0.027,0.019,0.013,0.012
637,0.021,0.024,0.014,0.014,0.012
638,0.013,0.018,0.005,0.014,0.014
639,0.012,0.014,0.004,0.016,0.015
640,0.024,0.022,0.012,0.024,0.019
641,0.04,0.034,0.022,0.03,0.025
642,0.04,0.045,0.027,0.026,0.024
643,0.032,0.044,0.027,0.022,0.018
644,0.02,0.039,0.023,0.017,0.012
645,0.018,0.027,0.014,0.012,0.012
646,0.012,0.015,0.007,0.006,0.01
647,0.012,0.012,0.005,0.004,0.008
648,0.018,0.019,0.006,0.007,0.008
649,0.025,0.02,0.009,0.011,0.011
650,0.026,0.016,0.011,0.011,0.012
651,0.023,0.014,0.01,0.011,0.013
652,0.02,0.013,0.009,0.012,0.012
653,0.014,0.012,0.006,0.009,0.007
654,0.009,0.008,0.005,0.007,0.002
655,0.009,0.008,0.004,0.004,0.004
656,0.008,0.003,0,0.002,0.005
657,0.004,-0.001,-0.006,0,0
658,0,-0.004,-0.007,-0.002,-0.007
659,0.001,-0.001,-0.001,0,-0.005
660,0.011,0.008,0.003,0.005,0.004
661,0.023,0.015,0.008,0.013,0.011
662,0.029,0.017,0.01,0.018,0.016
663,0.029,0.015,0.011,0.017,0.016
664,0.023,0.012,0.008,0.012,0.015
665,0.021,0.01,0.009,0.008,0.013
666,0.022,0.016,0.011,0.013,0.013
667,0.024,0.022,0.016,0.016,0.013
668,0.019,0.022,0.016,0.011,0.011
669,0.014,0.019,0.012,0.006,0.005
670,0.018,0.017,0.011,0.007,0.005
671,0.019,0.022,0.015,0.013,0.009
672,0.016,0.02,0.015,0.013,0.01
673,0.009,0.011,0.008,0.005,0.008
674,0.004,0.005,0.003,0,-0.002
675,0.003,0.007,0.002,0,-0.003
676,0.006,0.012,0.004,0.001,0.003
677,0.009,0.014,0.005,0.004,0.009
678,0.016,0.018,0.005,0.009,0.009
679,0.022,0.014,0.005,0.013,0.013
680,0.024,0.01,0.003,0.017,0.017
681,0.024,0.009,0.002,0.018,0.019
682,0.02,0.013,0.002,0.018,0.017
683,0.017,0.009,0.001,0.009,0.01
684,0.012,0.005,-0.004,0,0.004
685,0.007,0.006,-0.005,-0.004,0.001
686,0.004,0.013,-0.002,0.001,0.003
687,0.004,0.012,0.005,0.003,0.003
688,0.004,0.012,0.006,0.003,0.005
689,0.01,0.012,0.004,0.001,0.002
690,0.013,0.016,0.008,0.006,0.004
691,0.016,0.023,0.015,0.012,0.012
692,0.014,0.022,0.018,0.018,0.018
693,0.019,0.025,0.019,0.019,0.018
694,0.023,0.027,0.019,0.02,0.018
695,0.023,0.024,0.015,0.016,0.016
696,0.021,0.016,0.011,0.014,0.013
697,0.019,0.013,0.005,0.009,0.004
698,0.017,0.012,0.002,0.004,-0.001
699,0.014,0.01,0.004,0.002,-0.005
700,0.014,0.012,0.007,0,-0.003
701,0.012,0.016,0.006,-0.002,-0.002
702,0.017,0.021,0.007,-0.001,0.002
703,0.018,0.022,0.013,0.005,0.006
704,0.016,0.022,0.016,0.009,0.013
705,0.007,0.011,0.008,0.001,0.01
706,0.005,0.002,-0.003,-0.006,0.001
707,0.01,0.001,-0.003,-0.007,0
708,0.015,0.008,-0.003,0.003,0.003
709,0.016,0.008,-0.004,0.007,0.01
710,0.017,0.006,-0.008,0.008,0.009
711,0.013,0.006,-0.004,0.005,0.005
712,0.009,0.014,0.004,0.005,-0.001
713,0.005,0.019,0.008,0.007,0.001
714,0.009,0.021,0.007,0.003,0.007
715,0.012,0.019,0.006,0.001,0.009
716,0.008,0.013,0.007,-0.002,0.01
717,0.003,0.011,0.003,0.001,0.007
718,-0.002,0.009,-0.001,-0.001,-0.001
719,-0.006,0.009,0.002,-0.003,-0.008
720,-0.005,0.009,0.005,-0.002,-0.004
721,0.008,0.015,0.007,0.002,0.003
722,0.014,0.013,0.01,0.005,0.01
723,0.014,0.005,0.006,0.004,0.01
724,0.011,0.003,0,0.001,0.009
725,0.006,0.008,-0.001,-0.002,-0.001
726,0.003,0.011,0.003,-0.004,-0.005
727,0.007,0.009,0.003,-0.001,-0.003
728,0.015,0.009,0.003,0,0.003
729,0.02,0.008,0.005,-0.001,0.002
730,0.011,0.006,0,-0.006,0.002
731,0.004,-0.007,-0.006,-0.008,0.001
732,0.001,-0.012,-0.015,-0.008,0
733,0.005,-0.013,-0.014,-0.005,0
734,0.007,-0.001,-0.009,0.001,0.005
735,0.009,0.005,0.002,0.007,0.011
736,0.013,0.012,0.002,0.006,0.013
737,0.015,0.011,0.004,0.005,0.01
