,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
383,-0.001,0.01,0.003,0.004,0.007,0.005,0.011,0.013,0.002,0.006,0,0.002,0.006,0.004,0.006,0.003,0,0.011
384,-0.002,0.008,0.002,0.003,0.006,0.005,0.012,0.011,0.002,0.007,-0.002,0.002,0.004,0.004,0.005,0,-0.001,0.009
385,-0.003,0.01,0.003,0.003,0.006,0.007,0.013,0.012,0.003,0.006,-0.001,0.004,0.002,0.003,0.006,-0.001,0.002,0.009
386,-0.003,0.012,0.002,0.004,0.006,0.008,0.012,0.011,0.003,0.006,0,0.003,0.003,0.002,0.007,-0.001,0.003,0.009
387,-0.001,0.013,0.002,0.004,0.006,0.006,0.013,0.011,0.003,0.007,0,0.002,0.004,0.003,0.007,0,0.001,0.009
388,-0.002,0.011,0.002,0.003,0.006,0.004,0.013,0.009,0.003,0.007,0,0.003,0.004,0.003,0.007,-0.001,0,0.009
389,-0.003,0.009,0.002,0.004,0.007,0.004,0.014,0.008,0.006,0.01,0,0.004,0.006,0.004,0.005,0,0.001,0.007
390,-0.004,0.011,0.001,0.003,0.007,0.004,0.014,0.009,0.008,0.01,-0.001,0.005,0.007,0.005,0.004,-0.001,0.002,0.009
391,-0.003,0.013,0,0.004,0.007,0.005,0.014,0.011,0.008,0.01,-0.001,0.005,0.007,0.005,0.004,0.001,0.003,0.011
392,0,0.016,0.002,0.004,0.007,0.006,0.015,0.015,0.009,0.011,-0.001,0.004,0.007,0.006,0.006,0.003,0.001,0.012
393,0.002,0.014,0.003,0.005,0.007,0.008,0.016,0.017,0.008,0.01,0,0.007,0.005,0.005,0.008,0.005,0.004,0.014
394,-0.001,0.011,0.002,0.005,0.007,0.006,0.013,0.016,0.004,0.008,0.001,0.007,0.004,0.004,0.008,0.004,0.004,0.013
395,-0.004,0.009,0,0.004,0.006,0.005,0.01,0.013,0.001,0.005,0.002,0.005,0.003,0.004,0.006,0.003,0.004,0.011
396,-0.004,0.009,0,0.003,0.005,0.005,0.011,0.009,0.001,0.005,0.002,0.004,0.004,0.005,0.006,0.003,0.002,0.008
397,-0.003,0.011,0.001,0.004,0.005,0.005,0.012,0.008,0.005,0.007,0.002,0.004,0.005,0.004,0.007,0,0.001,0.005
398,0,0.012,0.003,0.006,0.006,0.007,0.014,0.011,0.007,0.009,0.002,0.007,0.006,0.004,0.011,0.002,0.004,0.007
399,0,0.013,0.003,0.005,0.007,0.004,0.014,0.012,0.007,0.01,0.002,0.007,0.006,0.005,0.011,0.002,0.005,0.009
400,-0.001,0.013,0.003,0.004,0.007,0.003,0.015,0.015,0.006,0.011,0.001,0.003,0.006,0.005,0.009,0.004,0.006,0.012
401,-0.002,0.012,0,0.003,0.006,0.001,0.016,0.014,0.005,0.01,-0.002,0.001,0.005,0.005,0.006,0.001,0.004,0.012
402,-0.002,0.013,-0.001,0.005,0.006,0.001,0.016,0.014,0.006,0.01,-0.002,0,0.003,0.004,0.005,0.001,0.002,0.011
403,0,0.014,0.002,0.005,0.006,0.003,0.015,0.016,0.004,0.008,0,0.004,0.002,0.004,0.007,0.004,0.001,0.013
404,0.003,0.014,0.006,0.002,0.006,0.005,0.014,0.019,0.004,0.007,0.005,0.006,0.002,0.004,0.008,0.008,0.003,0.016
405,0.002,0.012,0.007,0.002,0.006,0.007,0.013,0.019,0.003,0.006,0.005,0.006,0.003,0.003,0.009,0.009,0.006,0.017
406,-0.001,0.011,0.006,0.004,0.007,0.006,0.013,0.017,0.004,0.007,0.003,0.006,0.004,0.004,0.009,0.007,0.006,0.014
