,0,1,2,3,4,5,6
474,-0.008,0.008,0.001,0.009,0.001,0.005,0.01
475,-0.01,0.006,-0.001,0.009,0.004,0.007,0.009
476,-0.013,0.004,-0.003,0.009,0.006,0.008,0.007
477,-0.013,0.004,-0.002,0.009,0.004,0.008,0.007
478,-0.013,0.005,0,0.008,0.005,0.003,0.007
479,-0.009,0.006,0.003,0.008,0.01,0.002,0.007
480,-0.011,0.003,0.002,0.008,0.012,0.003,0.005
481,-0.016,0.001,0,0.01,0.007,0.006,0.003
482,-0.019,0.001,-0.002,0.01,-0.002,0.007,0.004
483,-0.019,0.005,-0.002,0.007,-0.006,0.006,0.007
484,-0.015,0.004,-0.001,0.002,-0.004,0.004,0.006
485,-0.013,-0.001,-0.003,-0.002,0.001,-0.001,-0.002
486,-0.012,-0.001,-0.005,-0.003,0.003,-0.003,-0.004
487,-0.014,-0.001,-0.006,0,0.002,-0.002,-0.001
488,-0.018,-0.001,-0.008,0.001,-0.002,0,-0.001
489,-0.02,-0.004,-0.01,0,-0.007,-0.002,-0.006
490,-0.02,-0.005,-0.01,-0.002,-0.006,-0.003,-0.007
491,-0.018,-0.002,-0.009,-0.001,-0.005,-0.001,-0.003
492,-0.017,0,-0.008,0.001,-0.001,0.001,-0.001
493,-0.015,0,-0.007,0.001,-0.001,0,-0.001
494,-0.014,-0.001,-0.008,0.001,0.001,-0.001,-0.002
495,-0.008,0,-0.008,0.001,0.003,0.001,0.002
496,-0.006,0,-0.008,0.001,0.002,0.001,0.003
497,-0.009,-0.003,-0.008,0,0,-0.001,-0.001
498,-0.014,-0.003,-0.009,-0.001,-0.002,-0.002,-0.004
499,-0.02,-0.005,-0.011,-0.001,-0.002,-0.003,-0.007
500,-0.023,-0.006,-0.013,-0.003,-0.005,-0.002,-0.007
501,-0.022,-0.006,-0.01,-0.002,-0.007,-0.001,-0.005
502,-0.016,-0.003,-0.006,-0.001,-0.003,0.002,0
503,-0.009,0.003,-0.003,0.003,0.003,0.005,0.005
504,-0.01,0.004,-0.004,0.004,0.007,0.004,0.005
505,-0.013,0.003,-0.005,0.001,0.004,0.003,0.003
506,-0.016,0.001,-0.006,-0.001,0,-0.001,-0.001
507,-0.018,-0.001,-0.01,-0.003,-0.002,-0.005,-0.005
508,-0.018,-0.003,-0.014,-0.003,-0.003,-0.004,-0.006
509,-0.015,-0.001,-0.013,-0.001,-0.001,0,-0.004
510,-0.011,0,-0.01,-0.001,-0.001,0,-0.003
511,-0.009,0.001,-0.008,-0.002,0,-0.003,-0.001
512,-0.014,-0.001,-0.009,-0.001,-0.003,-0.003,-0.004
513,-0.019,-0.005,-0.014,-0.002,-0.003,-0.003,-0.006
514,-0.018,-0.006,-0.015,-0.002,-0.003,-0.001,-0.009
515,-0.018,-0.009,-0.015,0,-0.004,-0.001,-0.011
516,-0.016,-0.007,-0.011,0.002,-0.005,-0.001,-0.01
517,-0.021,-0.006,-0.013,0,-0.006,-0.001,-0.009
518,-0.021,-0.005,-0.016,-0.005,-0.007,-0.004,-0.008
519,-0.022,-0.007,-0.016,-0.007,-0.007,-0.003,-0.011
520,-0.019,-0.009,-0.012,-0.005,-0.005,-0.001,-0.014
521,-0.02,-0.013,-0.011,-0.005,-0.007,-0.003,-0.018
522,-0.023,-0.014,-0.013,-0.007,-0.007,-0.006,-0.018
523,-0.024,-0.012,-0.015,-0.009,-0.006,-0.006,-0.015
524,-0.021,-0.009,-0.012,-0.006,-0.002,-0.001,-0.012
525,-0.019,-0.009,-0.012,-0.004,0,0,-0.013
526,-0.019,-0.01,-0.014,-0.004,-0.002,-0.004,-0.015
527,-0.02,-0.008,-0.012,-0.004,-0.004,-0.005,-0.014
528,-0.019,-0.004,-0.008,-0.003,-0.005,-0.004,-0.012
529,-0.023,-0.01,-0.01,-0.006,-0.01,-0.006,-0.016
530,-0.03,-0.017,-0.018,-0.01,-0.015,-0.011,-0.024
531,-0.032,-0.02,-0.021,-0.012,-0.015,-0.013,-0.028
532,-0.026,-0.016,-0.02,-0.01,-0.011,-0.009,-0.024
533,-0.021,-0.012,-0.019,-0.01,-0.008,-0.011,-0.018
534,-0.021,-0.014,-0.022,-0.014,-0.01,-0.015,-0.019
535,-0.022,-0.013,-0.02,-0.013,-0.011,-0.015,-0.02
536,-0.019,-0.01,-0.015,-0.007,-0.008,-0.009,-0.016
537,-0.018,-0.009,-0.011,-0.004,-0.005,-0.005,-0.015
538,-0.019,-0.012,-0.013,-0.006,-0.003,-0.006,-0.018
539,-0.023,-0.015,-0.017,-0.009,-0.007,-0.008,-0.023
540,-0.02,-0.012,-0.015,-0.008,-0.006,-0.007,-0.02
541,-0.02,-0.012,-0.014,-0.008,-0.004,-0.006,-0.018
542,-0.027,-0.018,-0.018,-0.011,-0.008,-0.008,-0.024
543,-0.026,-0.018,-0.019,-0.011,-0.009,-0.009,-0.026
544,-0.025,-0.014,-0.018,-0.009,-0.01,-0.007,-0.022
545,-0.024,-0.013,-0.018,-0.008,-0.008,-0.008,-0.021
546,-0.028,-0.014,-0.021,-0.011,-0.008,-0.01,-0.022
547,-0.027,-0.016,-0.021,-0.012,-0.007,-0.01,-0.022
548,-0.023,-0.014,-0.016,-0.009,-0.004,-0.009,-0.02
549,-0.024,-0.017,-0.016,-0.008,-0.006,-0.011,-0.021
550,-0.027,-0.021,-0.019,-0.011,-0.011,-0.016,-0.025
551,-0.03,-0.024,-0.021,-0.011,-0.01,-0.016,-0.027
552,-0.028,-0.023,-0.02,-0.011,-0.007,-0.014,-0.029
553,-0.027,-0.018,-0.019,-0.011,-0.006,-0.012,-0.028
554,-0.029,-0.017,-0.02,-0.012,-0.011,-0.012,-0.028
555,-0.03,-0.017,-0.02,-0.011,-0.014,-0.009,-0.025
556,-0.03,-0.018,-0.02,-0.012,-0.011,-0.01,-0.024
557,-0.026,-0.018,-0.019,-0.011,-0.011,-0.01,-0.021
558,-0.026,-0.015,-0.018,-0.012,-0.011,-0.01,-0.021
559,-0.029,-0.016,-0.016,-0.011,-0.011,-0.008,-0.02
560,-0.029,-0.018,-0.016,-0.011,-0.007,-0.008,-0.023
561,-0.027,-0.018,-0.018,-0.01,-0.002,-0.007,-0.024
562,-0.024,-0.019,-0.022,-0.01,-0.001,-0.007,-0.024
563,-0.021,-0.02,-0.021,-0.009,-0.002,-0.007,-0.026
564,-0.02,-0.018,-0.017,-0.008,0,-0.009,-0.024
565,-0.018,-0.014,-0.014,-0.011,0.002,-0.012,-0.02
566,-0.023,-0.016,-0.014,-0.014,-0.005,-0.015,-0.02
567,-0.023,-0.019,-0.017,-0.015,-0.013,-0.015,-0.024
568,-0.025,-0.023,-0.02,-0.014,-0.017,-0.015,-0.029
569,-0.023,-0.024,-0.022,-0.015,-0.016,-0.014,-0.03
570,-0.024,-0.021,-0.022,-0.015,-0.013,-0.012,-0.026
571,-0.025,-0.018,-0.019,-0.01,-0.006,-0.011,-0.023
572,-0.028,-0.02,-0.019,-0.008,-0.005,-0.013,-0.027
573,-0.024,-0.02,-0.018,-0.008,-0.003,-0.013,-0.027
574,-0.018,-0.015,-0.017,-0.007,0,-0.01,-0.019
575,-0.017,-0.013,-0.016,-0.004,0,-0.007,-0.015
576,-0.018,-0.015,-0.014,-0.002,-0.005,-0.007,-0.02
577,-0.026,-0.023,-0.016,-0.007,-0.011,-0.011,-0.028
578,-0.027,-0.021,-0.018,-0.012,-0.008,-0.014,-0.028
579,-0.025,-0.015,-0.021,-0.013,-0.006,-0.014,-0.024
580,-0.022,-0.011,-0.023,-0.01,-0.006,-0.011,-0.02
581,-0.017,-0.01,-0.022,-0.007,-0.007,-0.006,-0.021
582,-0.022,-0.013,-0.019,-0.008,-0.005,-0.006,-0.022
583,-0.025,-0.015,-0.017,-0.009,-0.002,-0.011,-0.02
584,-0.023,-0.011,-0.014,-0.007,0.001,-0.013,-0.013
585,-0.016,-0.009,-0.014,-0.006,-0.003,-0.013,-0.013
586,-0.018,-0.01,-0.015,-0.009,-0.005,-0.01,-0.015
587,-0.026,-0.011,-0.016,-0.01,-0.009,-0.009,-0.019
588,-0.024,-0.011,-0.016,-0.007,-0.005,-0.006,-0.018
589,-0.018,-0.008,-0.015,-0.005,-0.004,-0.006,-0.012
590,-0.016,-0.008,-0.015,-0.005,-0.005,-0.007,-0.008
591,-0.016,-0.01,-0.015,-0.006,-0.008,-0.006,-0.008
592,-0.017,-0.008,-0.012,-0.004,-0.007,-0.002,-0.01
593,-0.017,-0.007,-0.009,-0.003,-0.005,-0.004,-0.011
594,-0.019,-0.009,-0.007,-0.005,-0.002,-0.007,-0.012
595,-0.02,-0.012,-0.009,-0.006,-0.002,-0.004,-0.01
596,-0.014,-0.009,-0.01,-0.004,0,0.005,-0.005
597,-0.009,-0.003,-0.01,0,0.005,0.01,-0.003
598,-0.009,0.002,-0.007,0.003,0.004,0.008,-0.004
599,-0.016,-0.001,-0.004,0.001,-0.001,0.004,-0.008
