,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
256,0.138,0.135,0.236,0.219,0.197,0.244,0.25,0.305,0.384,0.386,0.436,0.438,0.486,0.484,0.558,0.604,0.615,0.003,0.008,0.006,0.016,0.011,0.007,0.014,0.014,0.011,0.013,0.009,0.013,0.01,0.006,0.015,0.012,0.015,0.017,0.016,0.013,0.018,0.016,0.09,0.081,0.12,0.112,0.172,0.175,0.2,0.193,0.218,0.211,0.249,0.283,0.305,0.288,0.34,0.341,0.389,0.383
257,0.132,0.13,0.225,0.21,0.188,0.232,0.239,0.291,0.367,0.368,0.417,0.419,0.464,0.463,0.533,0.578,0.591,0.002,0.006,0.005,0.015,0.01,0.006,0.012,0.013,0.01,0.011,0.008,0.012,0.008,0.006,0.013,0.011,0.014,0.016,0.015,0.012,0.017,0.014,0.074,0.068,0.099,0.092,0.142,0.145,0.167,0.159,0.18,0.173,0.205,0.235,0.252,0.238,0.283,0.283,0.324,0.318
258,0.127,0.125,0.215,0.2,0.179,0.22,0.228,0.277,0.348,0.351,0.396,0.398,0.441,0.442,0.507,0.551,0.562,0.003,0.006,0.006,0.016,0.011,0.007,0.013,0.013,0.011,0.012,0.009,0.013,0.009,0.006,0.014,0.012,0.015,0.017,0.016,0.014,0.018,0.015,0.061,0.057,0.083,0.076,0.117,0.119,0.14,0.131,0.148,0.141,0.168,0.194,0.206,0.194,0.234,0.233,0.266,0.261
259,0.117,0.115,0.199,0.186,0.165,0.204,0.212,0.256,0.322,0.324,0.367,0.368,0.408,0.41,0.47,0.512,0.521,0.004,0.007,0.006,0.016,0.012,0.007,0.013,0.013,0.012,0.012,0.009,0.013,0.009,0.006,0.014,0.012,0.016,0.018,0.017,0.015,0.018,0.015,0.05,0.048,0.068,0.062,0.095,0.097,0.116,0.106,0.121,0.113,0.137,0.158,0.167,0.156,0.19,0.188,0.215,0.212
260,0.105,0.102,0.179,0.167,0.149,0.183,0.189,0.229,0.288,0.289,0.327,0.329,0.364,0.366,0.419,0.458,0.465,0.004,0.007,0.007,0.015,0.012,0.007,0.013,0.013,0.012,0.013,0.009,0.013,0.009,0.005,0.014,0.012,0.015,0.019,0.016,0.016,0.019,0.016,0.041,0.039,0.057,0.05,0.077,0.079,0.096,0.087,0.099,0.091,0.112,0.129,0.136,0.127,0.155,0.154,0.174,0.171
261,0.091,0.088,0.153,0.143,0.128,0.157,0.162,0.196,0.247,0.248,0.278,0.28,0.311,0.312,0.358,0.389,0.395,0.004,0.008,0.006,0.015,0.012,0.007,0.013,0.013,0.011,0.013,0.009,0.013,0.01,0.005,0.015,0.012,0.016,0.019,0.017,0.015,0.018,0.016,0.035,0.034,0.048,0.041,0.065,0.066,0.082,0.073,0.083,0.076,0.093,0.107,0.114,0.105,0.128,0.127,0.143,0.141
262,0.076,0.073,0.126,0.119,0.107,0.13,0.134,0.16,0.203,0.203,0.227,0.228,0.254,0.254,0.292,0.315,0.32,0.005,0.008,0.006,0.016,0.013,0.008,0.014,0.014,0.012,0.014,0.01,0.013,0.011,0.007,0.015,0.012,0.015,0.019,0.017,0.014,0.018,0.017,0.031,0.03,0.041,0.035,0.055,0.055,0.071,0.063,0.072,0.065,0.079,0.091,0.096,0.089,0.108,0.107,0.121,0.119
263,0.063,0.06,0.101,0.095,0.087,0.103,0.108,0.127,0.162,0.161,0.177,0.178,0.198,0.2,0.228,0.244,0.248,0.005,0.009,0.007,0.016,0.011,0.008,0.014,0.014,0.013,0.014,0.011,0.013,0.012,0.007,0.015,0.012,0.016,0.019,0.017,0.015,0.018,0.017,0.027,0.028,0.037,0.031,0.048,0.049,0.063,0.054,0.063,0.056,0.069,0.079,0.082,0.077,0.094,0.092,0.105,0.103
264,0.05,0.048,0.079,0.074,0.068,0.08,0.084,0.098,0.125,0.124,0.135,0.134,0.151,0.153,0.173,0.183,0.187,0.005,0.009,0.008,0.016,0.012,0.008,0.014,0.014,0.012,0.013,0.009,0.013,0.01,0.008,0.014,0.012,0.015,0.018,0.016,0.014,0.017,0.016,0.024,0.025,0.033,0.028,0.042,0.043,0.057,0.049,0.055,0.049,0.062,0.07,0.072,0.067,0.082,0.08,0.093,0.092
265,0.041,0.039,0.062,0.056,0.054,0.061,0.065,0.076,0.097,0.095,0.103,0.102,0.115,0.117,0.131,0.138,0.14,0.004,0.007,0.006,0.015,0.012,0.008,0.013,0.013,0.01,0.012,0.008,0.012,0.008,0.006,0.012,0.011,0.014,0.017,0.015,0.013,0.016,0.014,0.021,0.022,0.03,0.025,0.038,0.039,0.053,0.044,0.049,0.042,0.055,0.062,0.064,0.061,0.074,0.073,0.084,0.083
266,0.035,0.032,0.05,0.045,0.043,0.047,0.052,0.06,0.075,0.075,0.081,0.079,0.091,0.091,0.102,0.106,0.108,0.003,0.006,0.005,0.014,0.012,0.006,0.012,0.012,0.009,0.011,0.007,0.011,0.008,0.004,0.012,0.01,0.013,0.017,0.014,0.012,0.015,0.012,0.019,0.019,0.028,0.023,0.035,0.036,0.05,0.04,0.047,0.038,0.051,0.058,0.06,0.056,0.07,0.069,0.077,0.076
267,0.031,0.028,0.043,0.039,0.036,0.039,0.044,0.049,0.062,0.06,0.066,0.064,0.074,0.074,0.083,0.085,0.086,0.003,0.005,0.005,0.013,0.013,0.006,0.012,0.012,0.009,0.01,0.007,0.011,0.008,0.004,0.011,0.01,0.013,0.015,0.013,0.012,0.014,0.012,0.019,0.018,0.027,0.021,0.033,0.034,0.048,0.039,0.046,0.036,0.049,0.057,0.058,0.053,0.069,0.066,0.074,0.072
268,0.028,0.025,0.038,0.036,0.032,0.034,0.038,0.042,0.055,0.052,0.058,0.055,0.064,0.064,0.071,0.072,0.072,0.003,0.005,0.005,0.014,0.012,0.005,0.012,0.011,0.01,0.011,0.008,0.011,0.009,0.003,0.011,0.01,0.013,0.015,0.013,0.012,0.014,0.012,0.02,0.019,0.027,0.022,0.033,0.033,0.049,0.038,0.045,0.037,0.049,0.058,0.057,0.052,0.07,0.066,0.073,0.071
269,0.026,0.023,0.033,0.032,0.029,0.029,0.034,0.038,0.05,0.047,0.051,0.048,0.057,0.056,0.062,0.063,0.063,0.003,0.006,0.006,0.014,0.012,0.005,0.012,0.011,0.01,0.011,0.007,0.011,0.008,0.003,0.011,0.009,0.013,0.016,0.013,0.011,0.013,0.013,0.02,0.02,0.027,0.022,0.034,0.033,0.051,0.04,0.045,0.039,0.051,0.059,0.058,0.052,0.071,0.066,0.075,0.073
270,0.024,0.022,0.03,0.03,0.027,0.027,0.033,0.035,0.047,0.044,0.046,0.043,0.053,0.051,0.057,0.058,0.057,0.002,0.006,0.006,0.014,0.01,0.005,0.012,0.011,0.011,0.011,0.007,0.011,0.007,0.003,0.011,0.009,0.012,0.015,0.012,0.01,0.013,0.012,0.02,0.02,0.028,0.023,0.035,0.033,0.051,0.04,0.045,0.04,0.051,0.06,0.059,0.054,0.072,0.067,0.075,0.075
271,0.023,0.021,0.029,0.029,0.026,0.026,0.031,0.033,0.045,0.043,0.044,0.041,0.051,0.049,0.054,0.055,0.055,0.001,0.006,0.004,0.013,0.008,0.003,0.011,0.01,0.009,0.01,0.006,0.01,0.006,0.002,0.009,0.008,0.011,0.015,0.012,0.009,0.012,0.01,0.018,0.02,0.028,0.023,0.035,0.034,0.05,0.04,0.046,0.04,0.051,0.06,0.06,0.055,0.072,0.068,0.076,0.075
272,0.023,0.02,0.029,0.03,0.026,0.026,0.032,0.033,0.045,0.043,0.043,0.041,0.048,0.05,0.054,0.053,0.054,0.001,0.005,0.003,0.012,0.008,0.003,0.01,0.009,0.008,0.008,0.004,0.009,0.004,0.001,0.007,0.006,0.01,0.012,0.01,0.007,0.01,0.007,0.018,0.019,0.028,0.022,0.035,0.034,0.049,0.039,0.045,0.039,0.049,0.059,0.06,0.057,0.072,0.069,0.076,0.075
273,0.024,0.021,0.031,0.031,0.027,0.027,0.033,0.034,0.047,0.044,0.044,0.042,0.049,0.052,0.055,0.054,0.055,0.002,0.005,0.003,0.012,0.008,0.002,0.009,0.009,0.007,0.008,0.004,0.009,0.004,0.001,0.006,0.006,0.009,0.011,0.009,0.006,0.008,0.005,0.018,0.019,0.029,0.024,0.035,0.035,0.049,0.04,0.047,0.04,0.05,0.06,0.061,0.059,0.072,0.071,0.077,0.075
274,0.024,0.021,0.031,0.03,0.027,0.028,0.033,0.035,0.046,0.044,0.045,0.042,0.049,0.053,0.055,0.054,0.054,0.001,0.004,0.004,0.011,0.008,0.003,0.009,0.009,0.007,0.008,0.004,0.008,0.004,0.001,0.006,0.006,0.008,0.01,0.008,0.006,0.007,0.005,0.019,0.02,0.03,0.024,0.037,0.037,0.051,0.041,0.048,0.04,0.052,0.062,0.063,0.059,0.074,0.073,0.079,0.077
275,0.024,0.021,0.031,0.029,0.027,0.028,0.033,0.034,0.045,0.043,0.043,0.04,0.048,0.052,0.053,0.053,0.052,0.001,0.005,0.004,0.012,0.009,0.003,0.01,0.009,0.007,0.008,0.004,0.007,0.004,0.001,0.006,0.006,0.008,0.009,0.008,0.006,0.007,0.006,0.021,0.02,0.031,0.025,0.038,0.039,0.053,0.043,0.051,0.041,0.055,0.065,0.065,0.059,0.076,0.075,0.082,0.08
276,0.024,0.02,0.03,0.027,0.026,0.026,0.031,0.032,0.042,0.041,0.041,0.037,0.046,0.049,0.05,0.051,0.048,0.001,0.005,0.004,0.012,0.008,0.002,0.01,0.009,0.007,0.008,0.004,0.007,0.004,0.001,0.006,0.006,0.008,0.009,0.008,0.006,0.007,0.006,0.021,0.021,0.031,0.025,0.039,0.039,0.055,0.043,0.052,0.043,0.057,0.066,0.067,0.061,0.078,0.077,0.084,0.082
277,0.022,0.018,0.027,0.026,0.024,0.024,0.03,0.03,0.041,0.038,0.037,0.035,0.043,0.046,0.047,0.047,0.044,0,0.004,0.004,0.01,0.007,0.002,0.009,0.009,0.006,0.007,0.003,0.007,0.003,0.001,0.005,0.005,0.008,0.009,0.007,0.005,0.007,0.004,0.02,0.02,0.031,0.025,0.039,0.039,0.056,0.044,0.052,0.043,0.058,0.067,0.069,0.062,0.08,0.078,0.085,0.084
