,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
342,-0.005,0.01,0.007,0.022,0.015,0.007,0.004,0.008,0.007,0.01,0.021,0.018,0.019,0.008,0.008
343,-0.007,0.009,0.007,0.022,0.016,0.005,0.002,0.008,0.005,0.009,0.02,0.014,0.016,0.008,0.007
344,-0.008,0.008,0.007,0.021,0.016,0.004,0.002,0.009,0.005,0.008,0.018,0.014,0.013,0.006,0.008
345,-0.01,0.005,0.006,0.018,0.014,0.004,0.004,0.008,0.007,0.008,0.016,0.015,0.012,0.006,0.008
346,-0.008,0.006,0.006,0.017,0.015,0.005,0.005,0.007,0.007,0.007,0.016,0.014,0.012,0.006,0.006
347,-0.007,0.008,0.005,0.018,0.013,0.006,0.003,0.007,0.006,0.008,0.016,0.013,0.013,0.005,0.006
348,-0.006,0.01,0.006,0.019,0.015,0.009,0.004,0.007,0.006,0.008,0.017,0.012,0.014,0.004,0.007
349,-0.005,0.011,0.007,0.02,0.015,0.009,0.003,0.007,0.008,0.008,0.018,0.014,0.013,0.003,0.009
350,-0.006,0.011,0.006,0.02,0.015,0.01,0.003,0.007,0.008,0.009,0.019,0.015,0.014,0.004,0.011
351,-0.007,0.007,0.007,0.019,0.015,0.007,0.003,0.007,0.006,0.007,0.016,0.013,0.012,0.006,0.009
352,-0.007,0.007,0.008,0.02,0.016,0.006,0.005,0.008,0.006,0.007,0.016,0.013,0.011,0.008,0.008
353,-0.005,0.01,0.01,0.02,0.018,0.008,0.008,0.01,0.009,0.009,0.016,0.013,0.012,0.009,0.009
354,-0.005,0.011,0.01,0.02,0.018,0.009,0.008,0.008,0.009,0.011,0.017,0.013,0.013,0.007,0.009
355,-0.006,0.01,0.009,0.019,0.016,0.009,0.006,0.006,0.008,0.011,0.016,0.013,0.014,0.004,0.009
356,-0.006,0.007,0.007,0.017,0.014,0.007,0.004,0.005,0.006,0.009,0.014,0.012,0.011,0.001,0.007
357,-0.005,0.008,0.007,0.02,0.013,0.007,0.005,0.007,0.006,0.008,0.015,0.012,0.01,0.001,0.007
358,-0.004,0.009,0.006,0.021,0.013,0.009,0.005,0.009,0.006,0.009,0.015,0.01,0.01,0.002,0.007
359,-0.006,0.009,0.005,0.02,0.013,0.009,0.004,0.009,0.005,0.01,0.014,0.009,0.011,0.004,0.006
360,-0.007,0.007,0.005,0.02,0.014,0.009,0.004,0.008,0.006,0.011,0.012,0.01,0.011,0.006,0.006
361,-0.006,0.008,0.005,0.022,0.015,0.01,0.005,0.008,0.008,0.014,0.013,0.012,0.011,0.007,0.008
362,-0.005,0.009,0.006,0.023,0.015,0.01,0.007,0.009,0.009,0.013,0.013,0.011,0.011,0.005,0.008
363,-0.007,0.009,0.006,0.02,0.015,0.009,0.006,0.009,0.009,0.01,0.011,0.008,0.009,0.004,0.006
364,-0.008,0.008,0.005,0.014,0.015,0.007,0.004,0.008,0.007,0.007,0.009,0.008,0.007,0.004,0.004
365,-0.007,0.009,0.006,0.014,0.015,0.007,0.004,0.008,0.007,0.006,0.011,0.007,0.009,0.004,0.005
366,-0.004,0.01,0.006,0.016,0.015,0.008,0.005,0.008,0.008,0.009,0.014,0.01,0.012,0.004,0.007
367,-0.003,0.009,0.006,0.018,0.014,0.007,0.005,0.008,0.008,0.01,0.014,0.009,0.012,0.003,0.006
368,-0.005,0.007,0.007,0.018,0.014,0.007,0.005,0.008,0.009,0.01,0.011,0.009,0.011,0.004,0.006
369,-0.005,0.009,0.008,0.019,0.015,0.007,0.005,0.008,0.008,0.01,0.012,0.01,0.012,0.006,0.007
370,-0.005,0.011,0.008,0.02,0.015,0.007,0.008,0.008,0.009,0.01,0.012,0.01,0.012,0.005,0.007
371,-0.006,0.01,0.007,0.021,0.015,0.006,0.007,0.007,0.008,0.009,0.009,0.009,0.01,0.003,0.005
372,-0.006,0.008,0.005,0.018,0.015,0.006,0.006,0.006,0.008,0.008,0.009,0.007,0.008,0.002,0.002
373,-0.005,0.007,0.006,0.015,0.014,0.008,0.005,0.007,0.008,0.009,0.01,0.007,0.007,0.004,0.003
374,-0.004,0.007,0.007,0.017,0.015,0.008,0.005,0.008,0.008,0.011,0.013,0.009,0.008,0.004,0.006
375,-0.003,0.009,0.008,0.017,0.015,0.008,0.006,0.008,0.008,0.01,0.013,0.009,0.01,0.004,0.008
376,-0.005,0.009,0.008,0.019,0.016,0.008,0.005,0.008,0.008,0.009,0.01,0.009,0.01,0.004,0.007
377,-0.004,0.011,0.008,0.022,0.016,0.01,0.007,0.01,0.01,0.01,0.012,0.01,0.012,0.005,0.006
378,-0.004,0.011,0.007,0.021,0.016,0.01,0.007,0.011,0.01,0.012,0.013,0.009,0.011,0.006,0.006
379,-0.005,0.01,0.008,0.021,0.018,0.009,0.006,0.011,0.009,0.015,0.014,0.009,0.009,0.007,0.007
380,-0.004,0.011,0.009,0.018,0.018,0.008,0.007,0.011,0.01,0.015,0.015,0.01,0.011,0.006,0.009
381,-0.005,0.01,0.008,0.018,0.018,0.008,0.007,0.01,0.009,0.013,0.014,0.012,0.011,0.005,0.009
382,-0.004,0.009,0.008,0.018,0.018,0.008,0.007,0.01,0.008,0.011,0.013,0.011,0.01,0.005,0.008
383,-0.004,0.009,0.007,0.017,0.016,0.006,0.006,0.009,0.008,0.009,0.012,0.009,0.008,0.005,0.007
384,-0.003,0.009,0.006,0.017,0.015,0.007,0.007,0.009,0.008,0.011,0.012,0.007,0.007,0.004,0.005
385,0,0.012,0.007,0.017,0.015,0.008,0.008,0.009,0.01,0.013,0.015,0.009,0.01,0.003,0.007
386,0,0.013,0.007,0.02,0.016,0.009,0.009,0.009,0.009,0.012,0.014,0.01,0.011,0.003,0.008
387,-0.004,0.012,0.007,0.02,0.016,0.006,0.007,0.009,0.008,0.009,0.011,0.009,0.01,0.003,0.008
388,-0.007,0.011,0.007,0.02,0.017,0.005,0.005,0.01,0.009,0.009,0.007,0.008,0.009,0.003,0.007
389,-0.008,0.009,0.006,0.019,0.015,0.006,0.004,0.008,0.008,0.008,0.006,0.006,0.006,0.001,0.004
390,-0.005,0.009,0.007,0.018,0.015,0.007,0.006,0.008,0.009,0.01,0.009,0.007,0.008,0.001,0.005
391,-0.004,0.01,0.007,0.017,0.015,0.009,0.006,0.008,0.009,0.011,0.011,0.008,0.007,0.002,0.006
392,-0.004,0.009,0.006,0.017,0.014,0.008,0.006,0.008,0.007,0.012,0.012,0.008,0.008,0.002,0.007
393,-0.004,0.01,0.007,0.02,0.015,0.01,0.008,0.009,0.008,0.014,0.014,0.01,0.012,0.003,0.008
394,-0.004,0.01,0.007,0.024,0.015,0.011,0.008,0.007,0.01,0.013,0.013,0.01,0.013,0.002,0.008
395,-0.003,0.009,0.007,0.022,0.014,0.01,0.009,0.006,0.01,0.012,0.013,0.009,0.012,0.002,0.008
396,-0.004,0.01,0.008,0.019,0.015,0.01,0.007,0.008,0.009,0.01,0.01,0.009,0.008,0.004,0.007
397,-0.006,0.008,0.007,0.018,0.015,0.008,0.005,0.009,0.007,0.008,0.011,0.008,0.006,0.005,0.004
398,-0.007,0.008,0.008,0.02,0.016,0.006,0.005,0.01,0.006,0.008,0.013,0.009,0.007,0.006,0.004
399,-0.006,0.009,0.009,0.021,0.016,0.007,0.007,0.011,0.007,0.011,0.015,0.011,0.008,0.005,0.005
