,0,1,2,3,4,5,6,7,8,9,10,11
354,-0.001,0.004,0.001,0.001,0,0,-0.001,-0.002,-0.002,-0.001,0,-0.002
355,-0.002,0.003,0.001,0,0,-0.002,-0.002,-0.004,-0.003,-0.002,-0.002,-0.003
356,-0.001,0.004,0.002,0.001,0,-0.002,-0.003,-0.005,-0.002,-0.001,-0.001,-0.002
357,0.001,0.006,0.004,0.002,0.002,0,-0.001,-0.002,-0.001,0.001,0.001,0
358,0.002,0.006,0.004,0.002,0.002,0.001,0,-0.001,0,0.001,0.002,0
359,0.001,0.006,0.004,0.003,0.003,0.002,0.001,0.001,0,0.001,0.003,0.001
360,0,0.004,0.002,0.001,0.002,0.001,0,-0.001,-0.001,0,0.001,-0.001
361,-0.001,0.004,0.002,0.001,0,-0.001,-0.002,-0.004,-0.002,0,0,-0.002
362,-0.001,0.004,0.001,0,-0.001,-0.002,-0.003,-0.005,-0.003,-0.001,0,-0.002
363,-0.002,0.003,0.001,-0.001,-0.001,-0.002,-0.003,-0.005,-0.003,-0.002,-0.001,-0.003
364,-0.002,0.003,0.001,-0.001,-0.001,-0.002,-0.002,-0.004,-0.003,-0.002,-0.001,-0.003
365,-0.002,0.002,0,-0.001,0.001,0,-0.001,-0.002,-0.002,-0.002,-0.002,-0.003
366,-0.001,0.004,0.001,0.001,0.003,0.003,0.001,0,-0.002,-0.001,-0.001,-0.002
367,0,0.005,0.002,0.003,0.005,0.005,0.003,0.002,-0.001,-0.001,-0.001,-0.001
368,0,0.006,0.003,0.004,0.005,0.005,0.004,0.002,-0.001,0,0,0
369,0.001,0.006,0.003,0.004,0.004,0.005,0.003,0.002,0,0,0,0
370,0.001,0.005,0.003,0.003,0.004,0.004,0.003,0.002,0.001,0.001,0.001,-0.001
371,0.001,0.006,0.003,0.003,0.003,0.003,0.003,0.002,0.001,0.001,0.002,0
372,0.001,0.006,0.003,0.003,0.004,0.004,0.004,0.002,0.001,0.001,0.002,0.001
373,0.001,0.006,0.003,0.004,0.005,0.005,0.005,0.002,0.001,0.001,0.002,0.001
374,0.001,0.006,0.003,0.003,0.005,0.005,0.004,0.002,0.001,0.001,0.002,0
375,0.001,0.006,0.003,0.002,0.004,0.005,0.003,0.001,0.001,0,0.001,-0.001
376,0.001,0.006,0.003,0.003,0.004,0.004,0.003,0.001,0,0,0.001,0
377,0.002,0.007,0.004,0.003,0.004,0.003,0.002,0,0,0.001,0.002,0.001
378,0.002,0.006,0.005,0.004,0.003,0.002,0.002,0,0,0.001,0.002,0.001
379,0.002,0.006,0.004,0.003,0.003,0.002,0.003,0.001,0,0.001,0.001,0.001
380,0.002,0.006,0.004,0.003,0.005,0.004,0.005,0.003,0,0.001,0,0
381,0.001,0.006,0.004,0.003,0.007,0.006,0.006,0.003,0,0.001,0,0
382,0.002,0.007,0.004,0.003,0.007,0.006,0.006,0.003,0.001,0.001,0.001,0
383,0.002,0.007,0.004,0.003,0.005,0.005,0.005,0.002,0.001,0.002,0.002,0.001
384,0.002,0.007,0.005,0.004,0.004,0.005,0.005,0.002,0.001,0.001,0.002,0.001
385,0.002,0.008,0.006,0.005,0.004,0.005,0.005,0.001,0.002,0.002,0.002,0.002
386,0.003,0.008,0.007,0.006,0.005,0.005,0.004,0.001,0.002,0.003,0.003,0.002
387,0.002,0.007,0.005,0.005,0.004,0.004,0.003,0.001,0.001,0.002,0.002,0.001
388,0.001,0.006,0.004,0.004,0.004,0.003,0.003,0.001,0.001,0.001,0.002,0.001
389,0,0.006,0.003,0.004,0.004,0.004,0.003,0.001,0.001,0.001,0.001,0.001
390,0.002,0.008,0.005,0.005,0.006,0.005,0.005,0.002,0.002,0.002,0.002,0.002
391,0.003,0.009,0.006,0.006,0.005,0.005,0.004,0.001,0.002,0.003,0.002,0.002
392,0.003,0.008,0.005,0.005,0.004,0.004,0.003,0.001,0.001,0.002,0.002,0.002
393,0.002,0.007,0.004,0.003,0.004,0.003,0.002,0,0,0.001,0.001,0
394,0.001,0.006,0.003,0.003,0.003,0.002,0,-0.001,0,0,0,-0.001
395,0.001,0.005,0.003,0.002,0.002,0.002,0,-0.001,-0.001,0,0,-0.001
396,0.002,0.006,0.004,0.004,0.003,0.003,0.002,0,0.001,0.001,0.001,0.001
397,0.003,0.008,0.006,0.005,0.005,0.005,0.005,0.003,0.002,0.002,0.003,0.002
398,0.005,0.01,0.007,0.006,0.006,0.007,0.006,0.004,0.004,0.004,0.004,0.003
399,0.003,0.009,0.006,0.006,0.006,0.007,0.005,0.003,0.003,0.002,0.002,0.001
400,0.003,0.008,0.005,0.005,0.005,0.006,0.004,0.001,0.002,0.002,0.001,0.001
401,0.002,0.007,0.004,0.004,0.005,0.005,0.003,0.001,0.001,0,0,0
402,0.001,0.005,0.003,0.003,0.004,0.003,0.003,0.001,0,0,-0.001,-0.001
403,0.001,0.004,0.002,0.002,0.003,0.002,0.002,0,0,0,0,-0.001
404,0.002,0.005,0.003,0.003,0.002,0.003,0.002,-0.001,0.001,0.001,0.001,0
405,0.004,0.007,0.005,0.005,0.004,0.004,0.003,0.001,0.002,0.003,0.003,0.002
406,0.003,0.008,0.006,0.005,0.005,0.006,0.005,0.003,0.002,0.002,0.003,0.001
407,0.003,0.007,0.005,0.005,0.007,0.006,0.005,0.004,0.002,0.002,0.003,0.001
408,0.003,0.006,0.005,0.005,0.007,0.006,0.005,0.004,0.002,0.001,0.002,0.001
409,0.004,0.008,0.005,0.006,0.006,0.006,0.005,0.004,0.004,0.002,0.003,0.003
410,0.003,0.008,0.005,0.005,0.006,0.006,0.006,0.003,0.002,0.001,0.003,0.002
411,0.002,0.008,0.005,0.004,0.006,0.006,0.006,0.003,0.002,0,0.002,0.002
412,0.002,0.008,0.005,0.004,0.005,0.006,0.005,0.004,0.001,0.001,0.002,0.002
413,0.002,0.007,0.005,0.005,0.005,0.005,0.003,0.003,0.001,0.002,0.002,0.002
414,0.003,0.008,0.006,0.006,0.005,0.005,0.003,0.002,0.003,0.003,0.003,0.003
415,0.003,0.008,0.006,0.006,0.007,0.006,0.005,0.003,0.003,0.005,0.004,0.003
416,0.004,0.009,0.006,0.006,0.006,0.005,0.005,0.003,0.003,0.005,0.005,0.003
417,0.004,0.009,0.006,0.006,0.006,0.005,0.004,0.003,0.003,0.004,0.004,0.002
418,0.003,0.008,0.005,0.005,0.005,0.005,0.004,0.002,0.002,0.002,0.002,0.001
419,0.002,0.007,0.004,0.004,0.005,0.005,0.004,0.002,0.002,0.001,0.002,0.001
420,0.003,0.007,0.005,0.004,0.006,0.005,0.005,0.003,0.002,0.002,0.002,0.001
421,0.003,0.008,0.006,0.004,0.004,0.004,0.003,0.002,0.002,0.002,0.002,0.001
422,0.003,0.007,0.005,0.004,0.004,0.004,0.003,0.002,0.002,0.002,0.001,0.001
423,0.003,0.007,0.005,0.003,0.004,0.004,0.003,0.002,0.001,0.002,0.001,0.001
424,0.001,0.007,0.003,0.003,0.003,0.004,0.003,0.001,0.001,0.001,0.001,0
425,0.001,0.005,0.003,0.003,0.003,0.004,0.003,0,0,0.001,0,-0.001
426,-0.001,0.004,0.002,0.002,0.003,0.003,0.002,-0.001,-0.001,-0.001,-0.001,-0.002
427,-0.002,0.003,0,0.001,0.003,0.003,0.001,-0.001,-0.003,-0.003,-0.003,-0.004
428,-0.001,0.004,0,0.001,0.004,0.004,0.002,0,-0.003,-0.003,-0.002,-0.003
429,-0.001,0.004,0,0.001,0.004,0.003,0.001,0,-0.002,-0.002,-0.001,-0.002
430,0.001,0.004,0.002,0.003,0.004,0.004,0.002,0.001,0.001,0,0.001,0
431,0.002,0.006,0.003,0.004,0.004,0.004,0.002,0.001,0.002,0.001,0.002,0.002
432,0.002,0.007,0.005,0.004,0.005,0.005,0.003,0.003,0.002,0.002,0.002,0.002
433,0.004,0.007,0.006,0.005,0.007,0.006,0.005,0.004,0.002,0.003,0.004,0.003
434,0.003,0.007,0.006,0.006,0.005,0.005,0.005,0.003,0.003,0.003,0.004,0.003
435,0.004,0.007,0.006,0.006,0.003,0.004,0.004,0.001,0.003,0.003,0.004,0.003
436,0.003,0.008,0.005,0.006,0.003,0.004,0.003,0,0.004,0.003,0.004,0.003
437,0.002,0.007,0.005,0.005,0.005,0.005,0.004,0.002,0.003,0.002,0.003,0.002
438,0.002,0.006,0.004,0.005,0.007,0.007,0.006,0.004,0.002,0.002,0.002,0.001
439,0.001,0.005,0.003,0.003,0.007,0.006,0.005,0.004,0,0,0,-0.001
