,0,0,0,1,1,1
469,-0.005,0.009,-0.006,-0.009,-0.007,0.001
470,-0.008,0.004,-0.009,-0.01,-0.01,-0.004
471,-0.007,0.003,-0.008,-0.009,-0.009,-0.004
472,-0.004,0.006,-0.005,-0.006,-0.006,-0.002
473,-0.003,0.006,-0.005,-0.005,-0.005,0.001
474,-0.003,0.006,-0.005,-0.005,-0.005,0.0
475,-0.005,0.007,-0.007,-0.005,-0.007,0.0
476,-0.006,0.007,-0.009,-0.007,-0.009,0.002
477,-0.006,0.007,-0.009,-0.007,-0.009,0.003
478,-0.005,0.007,-0.007,-0.005,-0.007,0.004
479,-0.004,0.007,-0.006,-0.003,-0.006,0.003
480,-0.004,0.008,-0.005,-0.002,-0.005,0.004
481,-0.003,0.009,-0.004,-0.001,-0.005,0.006
482,-0.003,0.009,-0.004,-0.002,-0.004,0.007
483,-0.004,0.008,-0.005,-0.003,-0.006,0.005
484,-0.008,0.002,-0.009,-0.007,-0.009,-0.001
485,-0.011,-0.003,-0.012,-0.014,-0.012,-0.006
486,-0.013,-0.008,-0.013,-0.018,-0.014,-0.009
487,-0.013,-0.005,-0.013,-0.017,-0.014,-0.006
488,-0.013,-0.004,-0.014,-0.014,-0.015,-0.006
489,-0.014,-0.008,-0.015,-0.014,-0.016,-0.01
490,-0.015,-0.011,-0.016,-0.015,-0.017,-0.012
491,-0.015,-0.008,-0.016,-0.014,-0.017,-0.009
492,-0.016,-0.005,-0.016,-0.014,-0.017,-0.006
493,-0.015,-0.004,-0.016,-0.012,-0.016,-0.007
494,-0.013,-0.002,-0.014,-0.008,-0.014,-0.007
495,-0.012,-0.001,-0.013,-0.007,-0.013,-0.006
496,-0.013,0.0,-0.014,-0.008,-0.014,-0.006
497,-0.015,-0.002,-0.016,-0.011,-0.017,-0.008
498,-0.014,-0.003,-0.015,-0.011,-0.016,-0.009
499,-0.01,-0.002,-0.012,-0.009,-0.012,-0.007
500,-0.009,-0.002,-0.01,-0.008,-0.011,-0.008
